molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL239882,O=C([O-])CC[C@H](NP(=O)([O-])OC[C@H](NC(=O)c1ccccc1)C(=O)[O-])C(=O)[O-].[K+].[K+].[K+].[K+],active,570.6550000000001,-16.72589999999998,2.0,10.0,7.455931955649724
CHEMBL238830,O=C(O)CC[C@H](NP(=O)(O)O)C(=O)O,active,227.109,-1.0133000000000003,5.0,3.0,8.638272163982407
CHEMBL241780,O=C([O-])CC[C@H](OP(=O)([O-])[O-])C(=O)[O-].[Li+].[Li+].[Li+].[Li+],active,251.82499999999996,-16.503699999999995,0.0,8.0,7.823908740944319
CHEMBL241779,O=C([O-])CC[C@H](NP(=O)([O-])[O-])C(=O)[O-].[Li+].[Li+].[Li+].[Li+],active,250.84099999999998,-16.930699999999995,1.0,7.0,9.065501548756432
CHEMBL394011,O=C([O-])CC[C@H](NP(=O)([O-])OCCCCc1ccccc1)C(=O)[O-].[K+].[K+].[K+],active,473.58500000000004,-10.255500000000012,1.0,7.0,6.7447274948966935
CHEMBL391138,O=C([O-])CCOP(=O)([O-])N[C@@H](CCC(=O)[O-])C(=O)[O-].[K+].[K+].[K+].[K+],intermediate,451.5320000000001,-17.13439999999999,1.0,9.0,5.3872161432802645
CHEMBL391840,O=C([O-])CC[C@H](NP(=O)([O-])OCC(CCc1ccccc1)C(=O)[O-])C(=O)[O-].[K+].[K+].[K+].[K+],active,555.6840000000001,-15.27549999999999,1.0,9.0,6.102372908709558
CHEMBL239465,O=C([O-])CC[C@H](NP(=O)([O-])OC[C@@H](NC(=O)c1ccccc1)C(=O)[O-])C(=O)[O-].[K+].[K+].[K+].[K+],active,570.6550000000001,-16.72589999999998,2.0,10.0,6.154901959985743
CHEMBL239041,CN(CCOP(=O)([O-])N[C@@H](CCC(=O)[O-])C(=O)[O-])C(=O)c1ccccc1.[K+].[K+].[K+],active,502.58300000000014,-11.506200000000012,1.0,8.0,6.552841968657781
CHEMBL400842,O=C([O-])CC[C@H](NP(=O)([O-])OCCNC(=O)c1ccccc1)C(=O)[O-].[K+].[K+].[K+],intermediate,488.5560000000001,-11.84840000000001,2.0,8.0,5.7447274948966935
CHEMBL238831,CN(C(=O)c1ccccc1)[C@@H](COP(=O)([O-])N[C@@H](CCC(=O)[O-])C(=O)[O-])C(=O)[O-].[K+].[K+].[K+].[K+],active,584.6820000000002,-16.38369999999998,1.0,10.0,7.259637310505756
CHEMBL270610,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@@H](OCCCOP(=O)([O-])N[C@@H](CCC(=O)[O-])C(=O)[O-])CC[C@]4(C)[C@H]3CC[C@@]21C.[K+].[K+].[K+],active,770.1239999999998,-4.381800000000016,1.0,8.0,6.903089986991944
CHEMBL394011,O=C([O-])CC[C@H](NP(=O)([O-])OCCCCc1ccccc1)C(=O)[O-].[K+].[K+].[K+],active,473.58500000000004,-10.255500000000012,1.0,7.0,6.7447274948966935
CHEMBL437209,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H](OP(=O)([O-])N[C@@H](CCC(=O)[O-])C(=O)[O-])CC[C@@]43C)[C@@H]1CCC2=O.[K+].[K+].[K+],active,613.8110000000004,-8.298000000000023,1.0,8.0,6.244887733604929
CHEMBL270594,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@@H](OP(=O)([O-])N[C@@H](CCC(=O)[O-])C(=O)[O-])CC[C@]4(C)[C@H]3CC[C@@]21C.[K+].[K+].[K+],active,712.044,-4.788500000000014,1.0,7.0,6.361510743045363
CHEMBL402033,C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2OCCCOP(=O)([O-])N[C@@H](CCC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],active,757.9400000000002,-6.727600000000019,1.0,10.0,6.242603971206976
CHEMBL402223,C[C@]12CC[C@@H]3c4ccc(OCCCOP(=O)([O-])N[C@@H](CCC(=O)[O-])C(=O)[O-])cc4CC[C@H]3[C@@H]1CCC2=O.[K+].[K+].[K+],active,651.8160000000003,-8.384100000000023,1.0,9.0,6.853871964321762
CHEMBL270824,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H](OCCCOP(=O)([O-])N[C@@H](CCC(=O)[O-])C(=O)[O-])CC[C@@]43C)[C@@H]1CCC2=O.[K+].[K+].[K+],active,671.8910000000001,-7.891300000000027,1.0,9.0,6.3585258894959
